,cell_id,rec_id,roi_id,cell_type,angles_btw_RFcenter_and_DensityCenter,angles_btw_RFcenter_and_SomaPos,dendritic_distance_to_soma,euclidean_distance_to_density_center,offset
569,20161215_1,9,14,0,20.228308709070724,12.175860158358905,191.88805804434077,66.97671282744494,23.510960103480635
572,20161217_1,1,2,0,10.08016929468063,141.07466511044973,70.26135804671387,31.29653301436382,15.931716260085048
573,20161217_1,1,3,0,28.95189239427769,80.82125905868989,136.73039551349137,44.22779483158246,12.966032033073114
574,20161217_1,1,4,0,162.71746430786578,134.0876322845392,125.01717489288363,40.57384130301429,5.845788075372264
575,20161217_1,1,5,0,25.24896205825984,32.23428603896879,130.97358570385683,42.320786956395665,11.570588778861353
576,20161217_1,1,6,0,8.211460422214175,60.57837329995572,120.04396888658216,38.41306067811458,3.8117981427885197
577,20161217_1,1,7,0,19.784636954396692,169.4137301597928,80.7159217607165,29.624506376094963,16.5045069275156
581,20161217_1,1,11,0,39.35075122851977,121.80266503236776,109.61936030807637,33.20345785799033,9.058044609260053
582,20161217_1,1,12,0,82.06922560838917,154.58039209036133,117.3839680854957,36.522964575591345,18.856734673184288
583,20161217_1,1,13,0,34.551409946535166,70.31778825939516,95.9560717898991,28.368951665378003,5.489165234051642
584,20161217_1,1,14,0,6.288168326588646,103.41559437507115,101.06067876623202,30.163985271960833,23.07664459155197
585,20161217_1,1,15,0,75.49013927904025,26.941862436835557,140.64905322118287,45.86510047405104,12.789733041415472
586,20161217_1,1,16,0,178.932322370315,126.43725288241612,133.75669771466133,38.08621574300993,2.074578843814118
590,20161217_1,1,20,0,4.24621380837733,62.55622015142616,117.81844888707933,28.652352432017196,21.98561258366108
591,20161217_1,1,21,0,38.22509821138375,155.97682313888748,74.38043281249688,28.01628968932078,29.118220727536034
593,20161217_1,1,23,0,107.46030119669493,5.6916601143401,100.19375015874365,17.940324732236615,3.6488708032892174
594,20161217_1,1,24,0,137.9423103084841,22.1773960723112,89.73918644474098,25.450845390256433,8.244020185822992
599,20161217_1,1,29,0,7.196079496520816,46.03936419904546,135.1249430110148,44.22483974912423,12.745948238137146
601,20161217_1,2,2,0,2.4157202141293714,63.842633534632604,119.89093270199436,58.7543038954664,33.556555355135565
602,20161217_1,2,3,0,24.86613007457873,39.79767141839883,112.73359505463135,58.601828325557626,39.59202880278057
603,20161217_1,2,4,0,30.87130714144625,26.865689868200718,128.7595290879255,54.296676030815085,34.28512997677594
604,20161217_1,2,5,0,45.57186053745046,1.7100802377650943,147.3824101886814,56.59432148045132,18.20546027718821
