,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
1362,20171219_1,1,6,0,79.2097818217,48.4264382495,20.4877708308,10.764778985,1,16.9750115668,8.411772533,1,13.8917131849,10.368076254,1,1
1363,20171219_1,1,7,0,65.9293571654,36.176528664,24.3587526901,16.7081891849,1,19.635262472,15.1235915875,1,15.3949919782,18.9804688565,1,1
1364,20171219_1,1,8,0,61.7352482877,32.5716105703,20.1549100529,11.0066732028,1,16.2073479715,13.4383667369,1,12.6165225461,19.9260882273,1,1
1365,20171219_1,1,9,0,76.6638777016,46.0287606309,23.8146698584,9.9122292354,1,19.7218037324,10.1243537577,1,15.9738534153,14.4350416197,1,1
1366,20171219_1,1,10,0,54.0120305537,25.5623708543,29.3839317162,18.9206069359,1,22.0931552124,26.7962097806,1,16.7004109931,34.5652950604,1,1
1367,20171219_1,1,11,0,62.6711929275,27.7680553866,27.1495684454,18.6670803738,1,20.1145878286,14.7404265338,1,15.3006758404,19.2731244459,1,1
1368,20171219_1,1,12,0,56.4865913949,28.7520117619,29.0047598194,14.405779934,1,23.1523985958,11.767266281,1,18.012907436,14.5602267279,1,1
1369,20171219_1,1,13,0,87.3938908282,52.516675005,17.4723064779,12.9331533355,1,14.0445877332,12.2996673294,1,11.1575178757,16.1438032329,1,1
1370,20171219_1,1,14,0,49.7465783971,23.0606390671,28.8468310672,22.8936863581,1,24.0971990019,24.0944838636,1,19.7567284657,22.8340882948,1,1
1371,20171219_1,1,15,0,57.6979880625,25.0983360677,14.5592377332,27.3462825146,1,11.8509085089,28.236931231,1,9.537649504,25.4730810429,1,1
1372,20171219_1,2,1,0,128.4204951876,99.2567955875,10.110321383,10.7445569548,1,8.4067673601,12.8502392397,1,6.8850133829,11.9140626779,1,1
1373,20171219_1,2,2,0,140.2095637388,107.7631343373,8.1169248302,10.8726124726,1,6.8014638202,13.2752462653,1,5.6017536679,12.0565338214,1,1
1374,20171219_1,2,3,0,132.1823033849,101.5114008595,9.8341535469,12.0011848851,1,8.301285369,14.5564328024,1,6.8844520544,12.741254221,1,1
1375,20171219_1,2,4,0,121.4477828487,94.7504023506,10.2566062659,16.3905157476,1,8.5540261804,18.6976394954,1,7.0236969761,16.9932006831,1,1
1376,20171219_1,2,5,0,125.5991390396,97.626815711,11.6992203855,14.6444565358,1,9.7853709351,16.2482604531,1,8.0511584152,15.615756049,1,1
1377,20171219_1,2,6,0,144.1995638675,111.7377933423,8.2983597673,6.4912915634,1,6.9361286052,9.4167270888,1,5.7023570948,7.8344840423,1,1
1378,20171219_1,2,7,0,148.0754680305,115.1695777831,13.9671956759,13.6563878054,1,11.7045935718,15.0425885722,1,9.6452812052,11.3809427696,1,1
1379,20171219_1,2,8,0,150.3459201228,117.2196911697,10.7296022269,14.8639565335,1,8.8414829351,17.3469292274,1,7.1716116736,14.8153733229,1,1
1380,20171219_1,2,9,0,118.512330735,93.08923524,11.2210322057,24.1868158852,1,9.2628270806,27.2180078307,1,7.5345958606,25.0410927866,1,1
1381,20171219_1,2,10,0,136.3336595758,104.5826056755,9.2039117086,12.7873032187,1,7.6103573533,15.7773900237,1,6.1957151211,14.0120863059,1,1
